   Chest Waist Hips gender
1     34    30   32   male
2     37    32   37   male
3     38    30   36   male
4     36    33   39   male
5     38    29   33   male
6     43    32   38   male
7     40    33   42   male
8     38    30   40   male
9     40    30   37   male
10    41    32   39   male
11    36    24   35 Female
12    36    25   37 Female
13    34    24   37 Female
14    33    22   34 Female
15    36    26   38 Female
16    37    26   37 Female
17    34    25   38 Female
18    36    26   37 Female
19    38    28   40 Female
20    35    23   35 Female
